card_id,customer_id,account_id,card_type,issue_date,expiry_date,credit_limit,status
1,34846,75950,Credit - Gold,2018-12-05,2023-12-04,0,Active
2,50151,55880,Credit - Classic,2016-05-19,2021-05-18,0,Active
3,11246,86152,Credit - Gold,2023-08-30,2028-08-28,50000,Active
4,23866,10907,Credit - Classic,2018-07-24,2023-07-23,0,Active
5,14097,22455,Credit - Classic,2023-08-16,2028-08-14,50000,Active
6,32427,60858,Debit,2016-10-11,2021-10-10,25000,Expired
7,5101,90095,Debit,2015-09-25,2020-09-23,25000,Expired
8,20733,93114,Credit - Platinum,2018-03-19,2023-03-18,25000,Active
9,15781,83286,Debit,2015-10-02,2020-09-30,0,Active
10,3471,1938,Credit - Classic,2020-02-10,2025-02-08,0,Active
11,16100,3457,Debit,2015-07-25,2020-07-23,25000,Active
12,56703,8466,Debit,2018-12-06,2023-12-05,0,Active
13,28740,75698,Credit - Classic,2018-02-16,2023-02-15,200000,Active
14,23370,71773,Debit,2019-03-15,2024-03-13,25000,Active
15,25499,38174,Credit - Classic,2022-03-01,2027-02-28,0,Active
16,2927,1350,Debit,2018-07-17,2023-07-16,0,Blocked
17,14980,71392,Credit - Gold,2015-07-04,2020-07-02,0,Active
18,5469,18127,Credit - Classic,2017-10-08,2022-10-07,0,Active
19,11539,36609,Debit,2017-09-23,2022-09-22,500000,Active
20,5019,7311,Debit,2021-12-04,2026-12-03,25000,Expired
21,43115,13023,Debit,2017-12-13,2022-12-12,0,Active
22,29092,83358,Credit - Classic,2021-02-11,2026-02-10,200000,Active
23,7230,17533,Debit,2018-11-18,2023-11-17,0,Active
24,12483,25800,Debit,2025-04-02,2030-04-01,50000,Active
25,58432,60527,Debit,2023-09-18,2028-09-16,0,Active
26,17989,90194,Debit,2016-03-17,2021-03-16,0,Active
27,38209,23732,Debit,2025-01-11,2030-01-10,50000,Active
28,32970,66947,Debit,2025-02-05,2030-02-04,25000,Active
29,19518,73053,Debit,2016-05-19,2021-05-18,0,Active
30,39370,25228,Debit,2024-06-06,2029-06-05,0,Active
31,8898,1979,Credit - Gold,2018-01-07,2023-01-06,25000,Active
32,2605,6293,Credit - Classic,2023-01-11,2028-01-10,100000,Active
33,53768,32171,Debit,2016-12-11,2021-12-10,500000,Active
34,9607,3764,Credit - Platinum,2015-09-06,2020-09-04,0,Active
35,37523,24100,Debit,2017-04-11,2022-04-10,0,Active
36,46490,30873,Debit,2022-02-06,2027-02-05,100000,Active
37,57528,36527,Credit - Gold,2019-03-17,2024-03-15,25000,Active
38,27805,24349,Debit,2019-03-15,2024-03-13,25000,Active
39,35619,38743,Credit - Classic,2022-12-15,2027-12-14,50000,Blocked
40,49588,32620,Credit - Classic,2022-04-10,2027-04-09,0,Active
41,34182,53038,Debit,2020-07-13,2025-07-12,0,Active
42,12415,56522,Credit - Classic,2021-09-06,2026-09-05,50000,Active
43,8859,92931,Credit - Gold,2020-08-01,2025-07-31,0,Active
44,38955,59630,Debit,2022-08-16,2027-08-15,50000,Active
45,14673,47477,Debit,2022-07-17,2027-07-16,0,Active
46,14656,42634,Credit - Gold,2022-01-31,2027-01-30,100000,Expired
47,23092,58225,Debit,2021-10-15,2026-10-14,0,Active
48,55703,24356,Debit,2024-06-29,2029-06-28,25000,Active
49,14339,10304,Debit,2024-04-22,2029-04-21,0,Active
50,46298,87091,Credit - Classic,2022-12-22,2027-12-21,0,Expired
51,19539,94597,Credit - Classic,2015-05-04,2020-05-02,50000,Blocked
52,32517,744,Debit,2024-04-01,2029-03-31,0,Blocked
53,3809,62161,Debit,2020-06-09,2025-06-08,50000,Active
54,34191,42296,Debit,2018-04-26,2023-04-25,0,Active
55,425,40449,Debit,2022-12-07,2027-12-06,100000,Active
56,12310,22244,Credit - Classic,2024-06-02,2029-06-01,25000,Active
57,14129,58881,Debit,2017-01-14,2022-01-13,50000,Active
58,32979,64219,Debit,2020-05-06,2025-05-05,0,Active
59,8666,15136,Debit,2016-07-11,2021-07-10,500000,Active
