loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,term_months,start_date,status
1,48019,129,Auto Loan,310670.27,9.54,60,2020-06-16,Active
2,47355,38,Education Loan,599321.65,16.2,12,2016-06-05,Active
3,30661,29,Gold Loan,135377.18,10.25,24,2012-07-03,Active
4,1755,66,Education Loan,20798.63,8.37,180,2013-01-27,Defaulted
5,18763,23,Education Loan,84367.97,8.97,60,2017-02-11,Active
6,6643,24,Home Loan,657821.31,11.04,24,2014-12-14,Active
7,42046,74,Personal Loan,178965.89,15.74,36,2014-01-21,Active
8,15025,122,Personal Loan,767730.85,6.62,240,2015-03-19,Closed
9,33238,12,Home Loan,89088.95,9.77,12,2024-03-08,Closed
10,8242,132,Personal Loan,72321.8,11.17,12,2018-05-24,Active
11,34823,98,Personal Loan,439986.04,12.37,36,2016-04-26,Active
12,8376,43,Auto Loan,847629.89,16.49,84,2011-11-16,Active
13,54288,15,Personal Loan,193559.89,15.36,60,2014-10-27,Active
14,54686,70,Home Loan,326478.96,8.48,240,2018-02-24,Active
15,49472,64,Personal Loan,1556627.01,13.87,60,2024-08-29,Closed
16,52503,142,Gold Loan,21944.88,8.25,240,2017-07-15,Active
17,33838,122,Auto Loan,326149.29,9.84,84,2019-10-08,Active
18,19943,127,Home Loan,82073.22,15.82,120,2015-08-30,Closed
19,46800,46,Gold Loan,182683.86,8.26,60,2011-11-16,Active
20,9140,116,Gold Loan,321276.36,11.95,12,2025-05-19,Active
21,51161,71,Business Loan,162125.85,16.34,180,2010-08-19,Closed
22,53680,17,Education Loan,886698.41,16.38,60,2024-11-06,Active
23,2988,141,Business Loan,303932.59,14.18,84,2022-10-26,Active
24,5770,150,Personal Loan,123890.07,7.32,12,2013-09-09,Closed
25,34299,132,Auto Loan,123809.23,7.18,120,2020-01-19,Active
26,56642,73,Business Loan,68417.37,13.5,60,2020-01-20,Active
27,35701,28,Business Loan,682363.82,12.59,240,2014-01-08,Active
28,39242,150,Business Loan,280724.32,16.38,120,2014-08-22,Defaulted
29,14202,145,Education Loan,467674.38,14.58,12,2014-11-07,Closed
30,39655,29,Personal Loan,166000.39,10.05,120,2013-08-27,Active
31,9155,38,Gold Loan,784973.06,14.86,180,2010-12-05,Closed
32,17784,28,Personal Loan,297031.53,15.65,84,2020-10-18,Active
33,14785,120,Gold Loan,312453.28,14.6,12,2010-01-20,Active
34,52009,3,Business Loan,21201.41,8.45,120,2014-06-28,Active
35,46439,36,Gold Loan,490936.32,9.79,180,2014-11-02,Active
36,12460,137,Business Loan,24868.75,8.21,120,2019-05-07,Closed
37,57648,100,Home Loan,1075389.05,14.59,36,2011-09-07,Active
38,9634,50,Business Loan,456069.29,10.73,60,2017-09-27,Closed
39,55461,110,Personal Loan,137702.74,15.52,24,2024-06-22,Active
40,32549,41,Personal Loan,140838.77,13.97,120,2011-09-11,Active
41,24179,55,Personal Loan,184341.82,11.27,12,2013-10-29,Active
42,36628,91,Business Loan,291199.54,9.51,12,2023-11-30,Active
43,35591,32,Business Loan,124576.66,7.2,60,2019-08-06,Active
44,11833,67,Personal Loan,434966.17,8.53,120,2019-03-24,Active
45,24758,9,Gold Loan,48294.67,11.99,24,2024-01-20,Active
46,57328,30,Home Loan,719554.02,13.92,36,2024-06-09,Active
47,13816,71,Gold Loan,203897.95,13.27,60,2023-08-28,Closed
48,15868,60,Auto Loan,266180.17,11.52,36,2022-02-21,Written Off
49,13628,95,Home Loan,301366.52,9.72,36,2017-09-02,Closed
50,36431,35,Home Loan,30294.45,9.33,240,2023-02-01,Written Off
51,59996,34,Gold Loan,896974.81,13.72,120,2023-03-06,Active
52,59261,33,Education Loan,59992.09,12.79,240,2024-07-06,Closed
53,44313,100,Education Loan,799879.79,15.02,12,2022-07-18,Closed
54,119,94,Business Loan,99144.99,11.0,12,2013-06-28,Active
55,19702,92,Personal Loan,175412.82,15.42,24,2021-07-06,Closed
56,5680,27,Personal Loan,495956.65,10.47,84,2011-12-03,Defaulted
57,59158,149,Auto Loan,132052.82,9.71,120,2019-06-06,Closed
58,25311,53,Home Loan,62221.72,12.42,60,2022-08-03,Active
59,55686,147,Gold Loan,923014.48,8.53,180,2018-08-11,Active
60,24724,122,Personal Loan,473418.53,12.96,180,2023-09-03,Active
61,1160,53,Auto Loan,333561.37,7.24,240,2013-08-25,Closed
62,7542,129,Home Loan,124504.56,8.41,24,2019-12-29,Active
63,8827,112,Personal Loan,739957.07,13.12,84,2010-12-23,Active
64,19908,50,Gold Loan,106482.2,10.15,180,2012-08-10,Closed
65,19237,84,Gold Loan,427941.11,7.31,180,2018-03-05,Closed
66,39650,138,Personal Loan,102481.51,10.69,60,2013-03-16,Active
67,26986,73,Home Loan,600609.91,9.06,36,2023-03-13,Defaulted
68,43782,18,Education Loan,422976.84,13.43,180,2022-10-04,Closed
69,26838,149,Personal Loan,966613.48,10.28,24,2017-07-11,Closed
70,59072,86,Home Loan,98340.01,16.07,24,2012-06-10,Closed
71,48458,7,Auto Loan,187719.04,11.82,36,2016-05-15,Active
72,54405,90,Auto Loan,358952.79,13.35,180,2014-11-06,Active
73,42362,101,Personal Loan,38872.75,8.38,240,2024-01-02,Closed
74,47634,20,Auto Loan,611174.31,14.01,240,2018-05-03,Closed
75,28711,9,Home Loan,676647.05,13.58,180,2010-04-05,Closed
76,19157,75,Auto Loan,1331278.56,7.96,36,2022-07-07,Active
77,53564,131,Personal Loan,196834.4,7.98,36,2013-10-16,Active
78,19724,124,Business Loan,284328.18,7.23,12,2020-04-01,Active
79,53646,65,Gold Loan,550632.45,8.95,180,2014-06-01,Defaulted
80,21581,36,Auto Loan,709697.06,7.04,12,2020-05-28,Defaulted
81,44034,97,Education Loan,339257.56,15.84,36,2018-03-13,Active
82,50543,18,Home Loan,525713.71,13.0,12,2010-01-11,Active
83,9479,138,Gold Loan,431251.22,8.02,84,2012-04-13,Active
84,44613,131,Education Loan,483818.13,13.99,240,2015-07-21,Active
85,18071,74,Business Loan,269793.37,7.32,60,2024-01-18,Active
86,20637,94,Education Loan,76370.01,10.22,24,2022-06-28,Defaulted
87,1026,14,Home Loan,405388.67,7.64,36,2019-05-29,Active
88,49172,76,Business Loan,1142448.89,16.41,84,2022-03-20,Active
89,58126,85,Education Loan,1232192.7,15.43,36,2024-04-09,Defaulted
90,59938,15,Gold Loan,433377.48,7.93,12,2023-05-06,Active
91,3777,48,Education Loan,815012.66,12.3,24,2010-09-22,Written Off
92,25972,128,Auto Loan,200910.29,12.44,12,2013-07-28,Active
93,5893,54,Gold Loan,401108.37,14.59,84,2010-05-28,Written Off
94,41214,67,Gold Loan,126254.16,7.42,180,2018-12-19,Active
95,42278,126,Home Loan,75301.47,13.39,84,2021-01-31,Active
96,49499,121,Auto Loan,220833.86,14.77,84,2024-12-08,Active
97,42344,110,Business Loan,406329.32,8.52,60,2024-05-30,Active
98,19424,125,Education Loan,144641.38,14.79,180,2013-02-26,Closed
99,11188,112,Business Loan,32157.91,14.56,60,2021-09-16,Active
100,13838,111,Personal Loan,485487.26,14.75,60,2018-08-23,Active
101,31126,37,Home Loan,66915.06,12.04,12,2022-12-11,Active
102,2351,85,Home Loan,36154.22,11.54,12,2021-08-21,Active
103,57170,48,Gold Loan,216251.29,11.52,180,2017-07-09,Active
104,46727,95,Gold Loan,256259.91,12.49,36,2017-05-03,Active
105,58829,133,Auto Loan,289306.82,9.73,12,2011-10-23,Active
106,9741,40,Business Loan,69946.93,11.47,120,2018-02-28,Active
107,57039,132,Education Loan,200965.7,14.15,12,2019-07-22,Active
108,49685,78,Business Loan,184330.39,13.93,36,2013-03-11,Defaulted
109,49965,69,Auto Loan,251582.66,10.98,24,2020-06-11,Active
110,18062,129,Auto Loan,23423.91,13.24,180,2020-12-11,Active
111,52578,59,Personal Loan,49584.4,10.65,84,2020-10-09,Active
112,46016,44,Education Loan,95989.82,13.55,24,2017-11-01,Active
113,34956,71,Education Loan,538433.55,8.04,180,2014-04-03,Active
114,10989,124,Auto Loan,215114.94,15.4,36,2016-11-02,Active
115,50309,42,Auto Loan,1739999.74,10.93,24,2023-05-18,Defaulted
116,53481,28,Business Loan,1045842.24,10.32,180,2022-06-21,Active
117,3796,149,Home Loan,411327.69,9.69,180,2015-02-24,Active
118,20627,53,Auto Loan,526927.0,12.14,60,2019-08-05,Active
119,5982,77,Business Loan,1054764.14,12.3,36,2021-12-14,Closed
120,25126,38,Auto Loan,540214.34,10.0,180,2022-06-22,Active
121,8664,23,Gold Loan,551034.09,14.41,240,2013-06-28,Defaulted
122,29521,25,Business Loan,687087.05,15.03,60,2010-12-07,Defaulted
123,45093,61,Gold Loan,348660.0,14.76,60,2021-01-31,Active
124,42,99,Business Loan,171039.43,9.15,240,2017-01-26,Active
125,45105,71,Personal Loan,431318.2,12.68,120,2014-02-13,Closed
126,43909,33,Auto Loan,1076763.12,6.93,120,2019-03-26,Active
127,22066,38,Gold Loan,881786.29,14.03,12,2021-12-18,Active
128,30050,72,Business Loan,882315.97,8.16,180,2019-08-13,Active
129,59570,7,Personal Loan,166113.53,9.85,84,2013-09-01,Closed
130,40085,123,Auto Loan,552732.43,11.22,180,2020-10-27,Active
131,8297,8,Home Loan,901975.09,7.75,84,2021-09-27,Active
132,45145,107,Home Loan,138437.15,15.15,180,2023-11-15,Active
133,52968,87,Home Loan,2413680.99,6.97,84,2015-03-19,Active
134,12075,121,Gold Loan,353082.31,7.27,120,2015-01-31,Active
135,32913,128,Gold Loan,566884.1,12.51,36,2019-01-21,Active
136,54950,137,Auto Loan,588514.79,9.84,180,2016-02-12,Active
137,58847,35,Auto Loan,108928.18,9.53,180,2011-09-22,Active
138,50909,84,Gold Loan,542686.15,12.09,120,2013-02-21,Defaulted
139,44204,26,Gold Loan,290591.85,14.4,60,2010-08-30,Active
