ticket_id,customer_id,issue_type,date_opened,date_resolved,status,satisfaction_score
1,16045,App Login Issue,2024-08-04,2024-08-19,Resolved,5
2,8088,App Login Issue,2021-07-13,2021-07-27,Resolved,1
3,47568,Card Blocked,2021-06-23,2021-07-08,Resolved,3
4,36826,KYC Update,2022-12-04,2022-12-18,Resolved,4
5,7289,Interest Query,2023-06-22,2023-07-11,Open,5
6,19827,Cheque Bounce,2021-09-09,2021-09-12,Resolved,5
7,59315,Account Statement,2024-08-02,2024-08-21,Resolved,3
8,44258,Net Banking Issue,2020-01-09,2020-01-23,Escalated,4
9,40010,Account Statement,2022-05-31,2022-06-11,Resolved,3
10,23235,KYC Update,2025-06-15,2025-06-20,Open,2
11,17528,App Login Issue,2023-09-19,2023-09-19,Resolved,2
12,50535,Interest Query,2020-01-07,2020-01-25,Resolved,3
13,46059,Loan Query,2021-12-01,2021-12-15,Resolved,5
14,55761,KYC Update,2021-09-16,2021-10-04,Resolved,1
15,36912,Interest Query,2021-04-25,2021-05-05,Resolved,1
16,20452,Wrong Debit,2021-08-29,2021-09-08,Resolved,2
17,45087,Card Blocked,2019-01-06,2019-01-21,Resolved,4
18,8076,Interest Query,2026-03-21,2026-04-01,Resolved,2
19,47967,KYC Update,2024-09-19,2024-09-23,Resolved,2
20,51973,Net Banking Issue,2020-07-21,2020-08-09,Resolved,3
21,4039,Wrong Debit,2020-01-05,2020-01-17,Resolved,3
22,24088,Cheque Bounce,2025-01-26,2025-02-01,Resolved,1
23,18911,Fraud Report,2021-05-23,2021-06-02,Resolved,5
24,32555,Fraud Report,2019-09-16,2019-09-28,Resolved,1
25,48925,Cheque Bounce,2024-05-21,2024-05-27,Resolved,5
26,49349,Wrong Debit,2020-01-03,2020-01-12,Resolved,3
27,42826,Fraud Report,2020-09-21,2020-10-04,Escalated,1
28,14568,Account Statement,2022-01-10,2022-01-21,Open,3
29,23127,Fraud Report,2024-03-30,2024-04-07,Resolved,3
30,8456,Card Blocked,2020-12-28,2021-01-11,Resolved,4
31,17011,App Login Issue,2023-07-15,2023-07-24,Resolved,4
32,44791,Loan Query,2021-05-08,2021-05-11,Escalated,2
33,57929,App Login Issue,2020-08-17,2020-08-23,Open,1
34,22870,Fraud Report,2022-04-26,2022-05-09,Resolved,3
35,23813,App Login Issue,2021-11-02,2021-11-20,Open,2
36,47612,KYC Update,2019-07-25,2019-07-26,Resolved,3
37,48119,Account Statement,2019-10-02,2019-10-17,Resolved,1
38,26935,Account Statement,2022-11-10,2022-11-19,Resolved,3
39,42400,Loan Query,2025-11-22,2025-12-01,Resolved,1
40,44790,Cheque Bounce,2024-07-23,2024-08-03,Open,1
41,13723,Card Blocked,2020-08-29,2020-09-02,Open,4
42,26869,KYC Update,2019-08-18,2019-08-27,Resolved,4
43,53674,KYC Update,2025-02-22,2025-02-26,Resolved,3
44,2847,App Login Issue,2025-05-04,2025-05-15,Resolved,3
45,18834,Account Statement,2023-11-18,2023-12-07,Resolved,5
46,6278,Net Banking Issue,2024-07-27,2024-08-06,Resolved,4
47,42206,Account Statement,2022-06-14,2022-06-26,Open,2
48,49880,Card Blocked,2021-08-21,2021-08-30,Resolved,2
49,40256,Card Blocked,2023-10-05,2023-10-23,Resolved,4
50,27531,Net Banking Issue,2020-12-24,2021-01-09,Resolved,3
51,18949,Wrong Debit,2019-01-08,2019-01-18,Resolved,5
52,21757,Cheque Bounce,2025-01-22,2025-01-23,Open,2
53,11000,Interest Query,2021-02-06,2021-02-11,Resolved,2
54,8132,Net Banking Issue,2021-10-28,2021-11-02,Open,1
55,2718,Card Blocked,2021-08-04,2021-08-11,Resolved,2
56,24148,Interest Query,2025-03-28,2025-04-05,Resolved,2
57,8499,App Login Issue,2026-04-15,2026-04-21,Resolved,3
58,37274,Cheque Bounce,2025-04-05,2025-04-13,Escalated,3
59,31166,Interest Query,2022-02-20,2022-03-11,Resolved,5
60,47129,Card Blocked,2026-06-11,2026-06-23,Resolved,2
61,35106,Fraud Report,2026-04-03,2026-04-04,Resolved,5
62,40165,Card Blocked,2024-03-31,2024-04-05,Resolved,5
63,40066,Fraud Report,2020-04-05,2020-04-10,Resolved,1
64,40735,Loan Query,2025-02-02,2025-02-14,Resolved,4
65,32382,App Login Issue,2020-01-25,2020-02-04,Resolved,4
66,3137,Net Banking Issue,2024-02-21,2024-02-25,Resolved,3
67,45417,Loan Query,2020-11-08,2020-11-14,Resolved,1
68,13669,Account Statement,2026-01-07,2026-01-20,Resolved,2
69,17243,Wrong Debit,2021-03-01,2021-03-16,Resolved,1
70,56068,Cheque Bounce,2025-05-29,2025-06-08,Resolved,2
71,53306,Card Blocked,2023-02-24,2023-03-09,Resolved,5
72,52109,Card Blocked,2025-01-26,2025-02-12,Resolved,2
73,38019,Loan Query,2026-01-06,2026-01-18,Resolved,4
74,5039,Wrong Debit,2024-07-28,2024-08-15,Resolved,2
75,44716,Net Banking Issue,2025-08-17,2025-09-02,Resolved,1
76,45765,KYC Update,2025-09-02,2025-09-02,Resolved,5
77,37622,Loan Query,2020-04-06,2020-04-21,Resolved,3
78,58520,Wrong Debit,2019-03-11,2019-03-27,Resolved,2
79,40332,App Login Issue,2019-11-02,2019-11-18,Resolved,1
80,36370,Fraud Report,2026-04-16,2026-05-01,Resolved,3
81,52933,Card Blocked,2019-09-02,2019-09-17,Resolved,5
82,43878,Interest Query,2026-01-04,2026-01-15,Resolved,4
