Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
1,Brenden Aaronson,FW,us United States,21,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,5bc43860,0.0,0.0,0.0,0.0,0.0,MF
2,Ali Abdi,MF,tn Tunisia,28,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,0,1,0,ad7cdb35,0.0,0.0,0.0,0.0,0.0,N/A
3,Salis Abdul Samed,MF,gh Ghana,22,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,82464ce3,0.0,0.0,0.0,0.0,0.0,N/A
4,Saud Abdulhamid,DF,sa Saudi Arabia,22,1.sa Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,caa254e4,0.0,0.0,0.0,0.0,0.0,MF
5,Nawaf Al Abed,FW,sa Saudi Arabia,32,1.sa Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,0,1,0,bfef5c87,0.0,0.0,0.0,0.0,0.0,MF
6,Pape Abou Cissé,DF,sn Senegal,26,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,8bc373ea,0.0,0.0,0.0,0.0,0.0,N/A
7,Vincent Aboubakar,FW,cm Cameroon,30,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,3,2,0,0,2,1,8637e09a,0.63,1.9,1.27,1.27,1.9,N/A
8,Abdulrahman Al-Aboud,MF,sa Saudi Arabia,27,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,9bf54a3b,0.0,0.0,0.0,0.0,0.0,N/A
9,Zakaria Aboukhlal,FW,ma Morocco,22,1.fr Toulouse,2000,4,0,79,0.9,1,0,1,1,0,0,0,0,c2a6033c,0.0,1.14,1.14,1.14,1.14,MF
10,Kellyn Acosta,DF,us United States,26,1.us LAFC,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,ece10cfe,0.0,0.0,0.0,0.0,0.0,MF
11,Marcos Acuña,DF,ar Argentina,30,1.es Sevilla,1991,6,4,373,4.1,0,0,0,0,0,0,3,0,81442ecb,0.0,0.0,0.0,0.0,0.0,MF
12,Tyler Adams,MF,us United States,23,1.eng Leeds United,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,2b09d998,0.0,0.0,0.0,0.0,0.0,N/A
13,Sam Adekugbe,DF,ca Canada,27,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,7f2309be,0.0,0.0,0.0,0.0,0.0,N/A
14,Michel Aebischer,MF,ch Switzerland,25,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,f9c927de,0.0,0.0,0.0,0.0,0.0,N/A
15,Akram Afif,FW,qa Qatar,25,1.qa Al Sadd,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,fd53d9e7,0.0,0.0,0.0,0.0,0.0,N/A
16,Nayef Aguerd,DF,ma Morocco,26,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,288e1e13,0.0,0.0,0.0,0.0,0.0,N/A
17,Brandon Aguilera,MF,cr Costa Rica,18,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0,938fa024,0.0,0.0,0.0,0.0,0.0,N/A
18,Homam Ahmed,DF,qa Qatar,22,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,0,1,0,a62fa158,0.0,0.0,0.0,0.0,0.0,MF
19,Manuel Akanji,DF,ch Switzerland,26,1.eng Manchester City,1995,4,4,360,4.0,1,0,1,1,0,0,1,0,89ac64a6,0.0,0.25,0.25,0.25,0.25,N/A
20,Nathan Aké,DF,nl Netherlands,27,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,0,1,0,eaeca114,0.0,0.0,0.0,0.0,0.0,N/A
21,Ahmed Alaaeldin,FW,qa Qatar,29,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,74fbbb3c,0.0,0.0,0.0,0.0,0.0,N/A
22,Jordi Alba,DF,es Spain,33,1.es Barcelona,1989,4,3,264,2.9,0,2,2,0,0,0,0,0,4601e194,0.68,0.68,0.0,0.0,0.68,N/A
23,Toby Alderweireld,DF,be Belgium,33,1.be Antwerp,1989,3,3,270,3.0,0,1,1,0,0,0,0,0,f7d50789,0.33,0.33,0.0,0.0,0.33,N/A
24,Trent Alexander-Arnold,DF,eng England,23,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,cd1acf9d,0.0,0.0,0.0,0.0,0.0,MF
